Subject,Class,Topic,Resource Type,Resource Name,Resource Link,,
Physics,11,Kinematics,Book,Concepts of Physics - HC Verma,https://www.pdfdrive.com/concepts-of-physics-hc-verma-e15863758.html,,
Physics,11,Kinematics,Book,Fundamentals of Physics - Halliday,https://www.pdfdrive.com/fundamentals-of-physics-halliday-resnick-walker-e18654706.html,,
Physics,11,Kinematics,Notes,Kinematics Notes by Esaral,https://www.esaral.com/jee/jee-main-physics-revision-notes/,,
Physics,11,Laws of Motion,Book,Concepts of Physics - HC Verma,https://www.pdfdrive.com/concepts-of-physics-hc-verma-e15863758.html,,
Physics,11,Laws of Motion,Book,Problems in General Physics - Irodov,https://www.pdfdrive.com/problems-in-general-physics-irodov-e23338999.html,,
Physics,11,Laws of Motion,Notes,Laws of Motion Notes by Vedantu,https://www.wedantu.com/revision-notes/jee-physics-laws-of-motion,,
Physics,11,Work Energy Power,Book,NCERT Physics Book,https://ncert.nic.in/textbook.php?keph1=0-9,,
Physics,11,Work Energy Power,Book,Understanding Physics for JEE - DC Pandey,https://www.pdfdrive.com/understanding-physics-for-jee-dc-pandey-e18903487.html,,
Physics,11,Work Energy Power,Notes,Work and Energy Notes by Toppr,",https://www.toppr.com/guides/physics/work-energy-and-power/work/",,
Physics,11,Rotational Motion,Book,Concepts of Physics - HC Verma,https://www.pdfdrive.com/concepts-of-physics-hc-verma-e15863758.html,,
Physics,11,Rotational Motion,Book,Problems in General Physics - Irodov,https://www.pdfdrive.com/problems-in-general-physics-irodov-e23338999.html,,
Physics,11,Rotational Motion,Notes,Rotational Motion Notes by TestprepKart,https://www.testgreplant.com/jee/downloads.php?id=17%2FJEE-Main&mid=57,,
Physics,11,Gravitation,Book,Concepts of Physics - HC Verma,https://www.pdfdrive.com/concepts-of-physics-hc-verma-e15863758.html,,
Physics,11,Gravitation,Book,Understanding Physics for JEE - DC Pandey,https://www.pdfdrive.com/understanding-physics-for-jee-dc-pandey-e18903487.html,,
Physics,11,Gravitation,Notes,Gravitation Notes by Physics Wallah,https://www.physicswallah.com/jee/notes-gravitation,,
Physics,11,Thermodynamics,Book,Concepts of Physics - HC Verma,https://www.pdfdrive.com/concepts-of-physics-hc-verma-e15863758.html,,
Physics,11,Thermodynamics,Book,Fundamentals of Physics - Halliday,https://www.pdfdrive.com/fundamentals-of-physics-halliday-resnick-walker-e18654706.html,,
Physics,11,Thermodynamics,Notes,Thermodynamics Notes by Esaral,https://www.esaral.com/jee/jee-main-thermodynamics-notes/,,
Physics,11,Waves,Book,Concepts of Physics - HC Verma,https://www.pdfdrive.com/concepts-of-physics-hc-verma-e15863758.html,,
Physics,11,Waves,Book,Understanding Physics for JEE - DC Pandey,https://www.pdfdrive.com/understanding-physics-for-jee-dc-pandey-e18903487.html,,
Physics,11,Waves,Notes,Waves Notes by Toppr,https://www.toppr.com/guides/physics/waves/,,
Physics,12,Electrostatics,Book,Concepts of Physics - HC Verma,https://www.pdfdrive.com/concepts-of-physics-hc-verma-e15863758.html,,
Physics,12,Electrostatics,Book,Problems in General Physics - Irodov,https://www.pdfdrive.com/problems-in-general-physics-irodov-e23338999.html,,
Physics,12,Electrostatics,Notes,Electrostatics Notes by Physics Wallah,https://www.physicswallah.com/jee/notes-electrostatics,,
Physics,12,Current Electricity,Book,Concepts of Physics - HC Verma,https://www.pdfdrive.com/concepts-of-physics-hc-verma-e15863758.html,,
Physics,12,Current Electricity,Book,Understanding Physics for JEE - DC Pandey,https://www.pdfdrive.com/understanding-physics-for-jee-dc-pandey-e18903487.html,,
Physics,12,Current Electricity,Notes,Current Electricity Notes by Vedantu,https://www.wedantu.com/revision-notes/jee-physics-current-electricity,,
Physics,12,Magnetism,Book,Concepts of Physics - HC Verma,https://www.pdfdrive.com/concepts-of-physics-hc-verma-e15863758.html,,
Physics,12,Magnetism,Book,Problems in General Physics - Irodov,https://www.pdfdrive.com/problems-in-general-physics-irodov-e23338999.html,,
Physics,12,Magnetism,Notes,Magnetism Notes by Esaral,https://www.esaral.com/jee/jee-main-physics-revision-notes/,,
Physics,12,Optics,Book,Concepts of Physics - HC Verma,https://www.pdfdrive.com/concepts-of-physics-hc-verma-e15863758.html,,
Physics,12,Optics,Book,Understanding Physics for JEE - DC Pandey,https://www.pdfdrive.com/understanding-physics-for-jee-dc-pandey-e18903487.html,,
Physics,12,Optics,Notes,Optics Notes by Toppr,https://www.toppr.com/guides/physics/optics/,,
Chemistry,11,Atomic Structure,Book,NCERT Chemistry Book,https://ncert.nic.in/textbook.php?kech1=0-7,,
Chemistry,11,Atomic Structure,Book,Physical Chemistry - OP Tandon,https://www.pdfdrive.com/physical-chemistry-op-tandon-e17647237.html,,
Chemistry,11,Atomic Structure,Notes,Atomic Structure Notes by Physics Wallah,https://www.physicswallah.com/jee/notes-atomic-structure,,
Chemistry,11,Chemical Bonding,Book,NCERT Chemistry Book,https://ncert.nic.in/textbook.php?kech1=0-4,,
Chemistry,11,Chemical Bonding,Book,Chemical Bonding - OP Tandon,https://www.pdfdrive.com/chemical-bonding-and-molecular-structure-op-tandom-e17647237.html,,
Chemistry,11,Chemical Bonding,Notes,Chemical Bonding Notes by Vedantu,https://www.wedantu.com/revision-notes/jee-chemistry-chemical-bonding,,
Chemistry,11,States of Matter,Book,NCERT Chemistry Book,https://ncert.nic.in/textbook.php?kech1=0-5,,
Chemistry,11,States of Matter,Book,Physical Chemistry - P Bahadur,https://www.pdfdrive.com/physical-chemistry-by-p-bahadur-e23349839.html,,
Chemistry,11,States of Matter,Notes,States of Matter Notes by Toppr,https://www.toppr.com/guides/chemistry/states-of-matter/,,
Chemistry,11,Thermodynamics,Book,NCERT Chemistry Book,https://ncert.nic.in/textbook.php?kech1=0-6,,
Chemistry,11,Thermodynamics,Book,Physical Chemistry - OP Tandon,https://www.pdfdrive.com/physical-chemistry-op-tandon-e17647237.html,,
Chemistry,11,Thermodynamics,Notes,Thermodynamics Notes by Esaral,https://www.esaral.com/jee/jee-main-chemistry-notes/,,
Chemistry,12,Organic Chemistry,Book,NCERT Chemistry Book,https://ncert.nic.in/textbook.php?kech2=0-10,,
Chemistry,12,Organic Chemistry,Book,Organic Chemistry - Morrison and Boyd,https://www.pdfdrive.com/organic-chemistry-morrison-boyd-e17647237.html,,
Chemistry,12,Organic Chemistry,Notes,Organic Chemistry Notes by Physics Wallah,https://www.physicswallah.com/jee/notes-organic-chemistry,,
Chemistry,12,Electrochemistry,Book,NCERT Chemistry Book,https://ncert.nic.in/textbook.php?kech2=0-3,,
Chemistry,12,Electrochemistry,Book,Physical Chemistry - P Bahadur,https://www.pdfdrive.com/physical-chemistry-by-p-bahadur-e23349839.html,,
Chemistry,12,Electrochemistry,Notes,Electrochemistry Notes by Vedantu,https://www.wedantu.com/revision-notes/jee-chemistry-electrochemistry,,
Mathematics,11,Trigonometry,Book,Plane Trigonometry - SL Loney,https://www.pdfdrive.com/plane-trigonometry-part-1-sl-loney-e17599851.html,,
Mathematics,11,Trigonometry,Book,Higher Algebra - Hall & Knight,https://www.pdfdrive.com/higher-algebra-hall-knight-e17652971.html,,
Mathematics,11,Trigonometry,Notes,Trigonometry Notes by Seif Studio,https://www.seifstudio.com/books/jee-mathematics/english/notes,,
Mathematics,11,Calculus,Book,Problems in Calculus - IA Maron,https://www.pdfdrive.com/problems-in-calculus-of-one-variable-ia-maron-e15719784.html,,
Mathematics,11,Calculus,Book,Differential Calculus - Arihant,https://www.pdfdrive.com/differential-calculus-arihant-e17647237.html,,
Mathematics,11,Calculus,Notes,Calculus Notes by Esaral,https://www.esaral.com/jee/jee-main-calculus-notes/,,
Mathematics,12,Probability,Book,NCERT Mathematics Book,https://ncert.nic.in/textbook.php?kemh2=0-13,,
Mathematics,12,Probability,Book,Problems in Probability - Sheldon Ross,https://www.pdfdrive.com/problems-in-probability-sheldon-ross-e17647237.html,,
Mathematics,12,Probability,Notes,Probability Notes by Vedantu,https://www.wedantu.com/revision-notes/jee-mathematics-probability,,
Mathematics,12,3D Geometry,Book,NCERT Mathematics Book,https://ncert.nic.in/textbook.php?kemh2=0-11,,
